taxid	name	rank	species_taxid	species_name	ogt	regime	ogt_match_type	ogt_row_count	ogt_temp_min	ogt_temp_max	ogt_raw_temps	ogt_sources	ogt_source_ids	ogt_parse_modes	ogt_has_range	ogt_range_count	ogt_source_taxids	superkingdom	phylum	class	order	family	genus
14	Dictyoglomus thermophilum	species	14	Dictyoglomus thermophilum	75.5	thermo	exact_taxid	2	75.5	75.5	73-78;75.5	BacDive;Lyubetsky et al., 2020	4239;Lyu927	point;range_midpoint	yes	1	14	Bacteria	Dictyoglomota	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus
19	Syntrophotalea carbinolica	species	19	Syntrophotalea carbinolica	35.0	meso	exact_taxid	2	35.0	35.0	35.0;35.0	Lyubetsky et al., 2020;Tempura	Lyu555;Tempura3550	point	no	0	19	Bacteria	Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Syntrophotaleaceae	Syntrophotalea
21	Phenylobacterium immobile	species	21	Phenylobacterium immobile	29.0	meso	exact_taxid	1	29.0	29.0	28.0-30.0	BacDive	2339	range_midpoint	yes	1	21	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
23	Shewanella colwelliana	species	23	Shewanella colwelliana	25.0	meso	exact_taxid	1	25.0	25.0	25.0	Tempura	Tempura8007	point	no	0	23	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
24	Shewanella putrefaciens	species	24	Shewanella putrefaciens	32.5	meso	exact_taxid	1	32.5	32.5	32.5	Lyubetsky et al., 2020	Lyu477	point	no	0	24	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
25	Shewanella hanedai	species	25	Shewanella hanedai	15.0	psychro	exact_taxid	1	15.0	15.0	15.0	Tempura	Tempura8500	point	no	0	25	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
33	Myxococcus fulvus	species	33	Myxococcus fulvus	28.5	meso	exact_taxid	2	28.0	29.0	29.0;28.0	Lyubetsky et al., 2020;Tempura	Lyu324;Tempura6223	point	no	0	33	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus
34	Myxococcus xanthus	species	34	Myxococcus xanthus	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura7050	point	no	0	34	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus
38	Archangium disciforme	species	38	Archangium disciforme	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura7277	point	no	0	38	Bacteria	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Archangium
41	Stigmatella aurantiaca	species	41	Stigmatella aurantiaca	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura5428	point	no	0	41	Bacteria	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Stigmatella
45	Melittangium lichenicola	species	45	Melittangium lichenicola	26.5	meso	exact_taxid	1	26.5	26.5	26.5	Tempura	Tempura6478	point	no	0	45	Bacteria	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Melittangium
48	Archangium gephyra	species	48	Archangium gephyra	25.0	meso	exact_taxid	1	25.0	25.0	25.0	Tempura	Tempura4447	point	no	0	48	Bacteria	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Archangium
51	Chondromyces apiculatus	species	51	Chondromyces apiculatus	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura6215	point	no	0	51	Bacteria	Myxococcota		Polyangiales	Polyangiaceae	Chondromyces
52	Chondromyces crocatus	species	52	Chondromyces crocatus	29.0	meso	exact_taxid	1	29.0	29.0	29.0	Tempura	Tempura6214	point	no	0	52	Bacteria	Myxococcota		Polyangiales	Polyangiaceae	Chondromyces
56	Sorangium cellulosum	species	56	Sorangium cellulosum	25.0	meso	exact_taxid	2	20.0	30.0	20.0;30.0	Lyubetsky et al., 2020;Tempura	Lyu143;Tempura6103	point	no	0	56	Bacteria	Myxococcota		Polyangiales	Polyangiaceae	Sorangium
84	Hyphomicrobium methylovorum	species	84	Hyphomicrobium methylovorum	28.0	meso	exact_taxid	1	28.0	28.0	28.0	Tempura	Tempura7333	point	no	0	84	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Hyphomicrobium
86	Hyphomonas jannaschiana	species	86	Hyphomonas jannaschiana	37.0	meso	species_taxid	1	37.0	37.0	37.0	Tempura	Tempura3228	point	no	0	1280952	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Hyphomonas
89	Leptothrix discophora	species	89	Leptothrix discophora	25.0	meso	exact_taxid	1	25.0	25.0	25.0	Tempura	Tempura7005	point	no	0	89	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Leptothrix
94	Stella humosa	species	94	Stella humosa	29.0	meso	exact_taxid	1	29.0	29.0	28-30	BacDive	64	range_midpoint	yes	1	94	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Stellaceae	Stella
97	Gallionella ferruginea	species	97	Gallionella ferruginea	20.0	meso	exact_taxid	1	20.0	20.0	20.0	Tempura	Tempura8485	point	no	0	97	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Gallionella
104	Cyclobacterium marinum	species	104	Cyclobacterium marinum	26.2	meso	exact_taxid	2	25.0	27.5	27.5;25.0	Lyubetsky et al., 2020;Tempura	Lyu232;Tempura8006	point	no	0	104	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacterium
106	Runella slithyformis	species	106	Runella slithyformis	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu256	point	no	0	106	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Spirosomataceae	Runella
120	Planctopirus limnophila	species	120	Planctopirus limnophila	31.0	meso	exact_taxid	1	31.0	31.0	31.0	Tempura	Tempura4690	point	no	0	120	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctopirus
125	Pirellula staleyi	species	125	Pirellula staleyi	27.0	meso	exact_taxid	1	27.0	27.0	27.0	Lyubetsky et al., 2020	Lyu216	point	no	0	125	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula
128	Isosphaera pallida	species	128	Isosphaera pallida	41.0	meso	exact_taxid	3	41.0	45.0	41.0;45.0;41.0	Lyubetsky et al., 2020;Tempura;ThermoBase	ThermoBase898;Lyu847;Tempura840	point	no	0	128	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera
134	Methylocystis parvus	species	134	Methylocystis parvus	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Tempura	Tempura3957	point	no	0	134	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis
139	Borreliella burgdorferi	species	139	Borreliella burgdorferi	32.0	meso	exact_taxid	1	32.0	32.0	32.0	Lyubetsky et al., 2020	Lyu445	point	no	0	139	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella
154	Spirochaeta thermophila	species	154	Spirochaeta thermophila	67.0	thermo	exact_taxid	2	67.0	67.0	67.0;67.0	Lyubetsky et al., 2020;Tempura	Lyu900;Tempura306	point	no	0	154	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta
159	Brachyspira hyodysenteriae	species	159	Brachyspira hyodysenteriae	38.0	meso	exact_taxid	1	38.0	38.0	38.0	Lyubetsky et al., 2020	Lyu808	point	no	0	159	Bacteria	Spirochaetota	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira
160	Treponema pallidum	species	160	Treponema pallidum	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu794	point	no	0	160	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae	Treponema
167	Treponema succinifaciens	species	167	Treponema succinifaciens	37.0	meso	exact_taxid	2	37.0	37.0	37.0;37.0	Lyubetsky et al., 2020;Tempura	Lyu796;Tempura2667	point	no	0	167	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae	Treponema
173	Leptospira interrogans	species	173	Leptospira interrogans	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Lyubetsky et al., 2020	Lyu375	point	no	0	173	Bacteria	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira
174	Leptospira borgpetersenii	species	174	Leptospira borgpetersenii	30.0	meso	exact_taxid	1	30.0	30.0	30.0	Lyubetsky et al., 2020	Lyu374	point	no	0	174	Bacteria	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira
180	Leptospirillum ferrooxidans	species	180	Leptospirillum ferrooxidans	33.5	meso	exact_taxid	2	33.5	33.5	33.5;33.5	Lyubetsky et al., 2020;Tempura	Lyu514;Tempura2345	point	no	0	180	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum
192	Azospirillum brasilense	species	192	Azospirillum brasilense	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu639	point	no	0	192	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Azospirillum
193	Azospirillum lipoferum	species	193	Azospirillum lipoferum	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu640	point	no	0	193	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Azospirillum
196	Campylobacter fetus	species	196	Campylobacter fetus	27.5	meso	exact_taxid	1	27.5	27.5	27.5	Lyubetsky et al., 2020	Lyu225	point	no	0	196	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
197	Campylobacter jejuni	species	197	Campylobacter jejuni	36.0	meso	exact_taxid	1	36.0	36.0	36.0	Lyubetsky et al., 2020	Lyu587	point	no	0	197	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
206	Campylobacter sputorum	species	206	Campylobacter sputorum	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu659	point	no	0	206	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
210	Helicobacter pylori	species	210	Helicobacter pylori	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu716	point	no	0	210	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
213	Helicobacter cinaedi	species	213	Helicobacter cinaedi	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu712	point	no	0	213	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
214	Helicobacter felis	species	214	Helicobacter felis	37.0	meso	exact_taxid	1	37.0	37.0	37.0	Lyubetsky et al., 2020	Lyu713	point	no	0	214	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
